sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:abruptly:adverb:1,abruptly,adverb,突然地,adv 突然地,/ə'brʌptli/,/ə'brʌptlɪ/,The path ends off abruptly.,这条路突然到头了。
en:absorb:verb:1,absorb,verb,吸收（液体、气体等）,v 吸收（液体、气体等）,/æbˈsɔrb; æbˈzɔrb; əbˈsɔrb/,/əb'sɔ:b/,Plants absorb nutrients from the soil.,植物从土壤中吸收养分。
en:abuse:verb:1,abuse,verb,滥用，虐待,v 滥用，虐待,/ə'bjus/,/ə'bjuːz/,Williams abused his position as Mayor to give jobs to his friends.,威廉斯滥用市长权力，给不少朋友安排了工作。
en:academic:adjective:1,academic,adjective,学校(院)的，学术的,adj 学校(院)的，学术的,"/,ækə'dɛmɪk/","/,ækə'demik/",He possessed no academic qualifications.,他没有学历。
en:access:verb:1,access,verb,获取,v 获取；n 接近，入口,/'æksɛs/,/'ækses/,Users can access their voice mail remotely.,用户可以远程获取语音邮件。
en:accessible:adjective:1,accessible,adjective,易接近的,adj 易接近的,/ək'sɛsəbl/,/əkˈsesəbl/,The island is only accessible by boat.,这个岛只有坐船才能到。
en:accommodate:verb:1,accommodate,verb,适合， 提供住宿,v 适合， 提供住宿,/ə'kɑmədet/,/ə'kɒmədeɪt/,The island was used to accommodate child refugees.,该岛用于收容儿童难民。
en:accomplish:verb:1,accomplish,verb,完成,v 完成,/ə'kɑmplɪʃ/,/ə'kʌmplɪʃ/,We have accomplished all we set out to do.,所有计划要做的事情，我们都已完成。
en:accumulate:verb:1,accumulate,verb,积累，增加,v 积累，增加,/ə'kjumjəlet/,/ə'kju:mjəleɪt/,It is unjust that a privileged few should continue to accumulate wealth.,少数特权阶级继续积聚财富，这是不公平的。
en:accurate:adjective:1,accurate,adjective,精确的，准确的,adj 精确的，准确的,/'ækjərət/,/'ækjʊrət/,The brochure tries to give a fair and accurate description of each hotel.,该手册尽量公正、准确地介绍每一家酒店。
en:achieve:verb:1,achieve,verb,完成，实现,v 完成，实现,/ə'tʃiv/,/ə'tʃiːv/,Frances achieved very good exam results.,弗朗西丝考试取得了优异成绩。
en:acknowledge:verb:1,acknowledge,verb,承认(…的权威),v 承认(…的权威),/ək'nɑlɪdʒ/,/ək'nɔlidʒ/,The family acknowledge the need for change.,全家人都承认需要改变一下。
en:acquire:verb:1,acquire,verb,获得,v 获得,/ə'kwaɪr/,/ə'kwaɪə/,Manning hoped to acquire valuable works of art as cheaply as possible.,曼宁希望以尽可能低的价格买到有价值的艺术品。
en:acute:adjective:1,acute,adjective,敏锐的,adj 敏锐的,/ə'kjut/,/ə'kjuːt/,Young children have a particularly acute sense of smell.,幼儿的嗅觉特别灵敏。
en:adapt:verb:1,adapt,verb,适应于,v 适应于,/ə'dæpt/,/ə'dæpt/,The ability to adapt is a definite asset in this job.,适应能力是做这份工作的绝对有利条件。
en:addiction:noun:1,addiction,noun,上瘾,n 上瘾,/ə'dɪkʃən/,/ə'dikʃən/,She helped him fight his drug addiction.,她帮助了他对抗自己的毒瘾。
en:additional:adjective:1,additional,adjective,额外的,adj 额外的,/ə'dɪʃənl/,/ə'dɪʃənl/,Additional information can be obtained from the centre.,可以从中心获取更多信息。
en:address:verb:1,address,verb,解决,v 解决,/ə'drɛs/,/ə'dres/,email address,电子邮箱信箱
en:adequate:adjective:1,adequate,adjective,足够的,adj 足够的,/ˈædɪkwət/,/ˈædɪkwət/,Farmers have been slow to make adequate provision for their retirement.,农民们迟迟没有为退休做好适当安排。
en:administration:noun:1,administration,noun,管理，政府,n 管理，政府,"/əd,mɪnɪ'streʃən/",/ədmɪnɪ'streɪʃ(ə)n/,We’re looking for someone with experience in administration.,我们正在寻找一个有管理经验的人。
en:administrative:adjective:1,administrative,adjective,管理的,adj 管理的,/əd'mɪnɪstretɪv/,/ədˈmɪnɪstrətɪv/,The job is mainly administrative.,这份工作主要是行政方面的。
en:admire:verb:1,admire,verb,钦佩，称赞,v 钦佩，称赞,/ədˈmaɪr/,/əd'maiə/,I really admire the way she brings up those kids all on her own.,我十分佩服她独力把那些孩子抚养大。
en:admiration:noun:1,admiration,noun,钦佩，称赞,n 钦佩，称赞,"/,ædmə'reʃən/",/ædmə'reɪʃ(ə)n/,Daniel gazed at her in admiration .,丹尼尔用爱慕的眼神注视着她。
en:admission:noun:1,admission,noun,准许进(加)入；入场费；承认,n 准许进(加)入；入场费；承认,/əd'mɪʃən/,/əd'miʃən/,"Reese, by his own admission , lacks the necessary experience.",里斯自己也承认缺乏必要的经验。
en:admit:verb:1,admit,verb,承认，容许,v 承认，容许,/əd'mɪt/,/əd'mɪt/,"‘Okay, so maybe I was a little bit scared,’ Jenny admitted.",“行了，也许我是有点害怕。”珍妮承认道。
en:advance:verb:1,advance,verb,前进，提前,v & n 前进，提前,/əd'væns/,/əd'vɑ:ns/,I should warn you in advance that I’m not a very good dancer.,我要先提醒你，我跳舞不是很好。
en:advanced:adjective:1,advanced,adjective,高级的,adj 高级的,/əd'vænst/,/ədˈvɑ:nst/,advanced learners of English,高级程度的英语学习者
en:advancement:noun:1,advancement,noun,进步，提升,n 进步，提升,/əd'vænsmənt/,/əd'vɑːnsm(ə)nt/,career advancement,职业发展
en:advice:noun:1,advice,noun,建议,n 建议,/ædˈvaɪs; əd'vaɪs/,/ədˈvaɪs/,You should have followed my advice.,你真该听我的建议。
en:advisory:noun:1,advisory,noun,报告,n 报告,/əd'vaɪzəri/,/əd'vaɪzərɪ/,The State Department issues travel advisories about conditions overseas.,国务院就海外局势发布旅游警报。
en:advocate:noun:1,advocate,noun,倡导,n & v 倡导,/ˈædvəkeɪt；-et/,/'ædvəkeɪt/,Mr. Williams is a conservative who advocates fewer government controls on business.,威廉斯先生是一位提倡减少政府对商业的控制的保守人士。
en:advocator:noun:1,advocator,noun,主张者，倡导者,n 主张者，倡导者,,/'ædvəkeɪtə/,,
en:affectionate:adjective:1,affectionate,adjective,深情的，柔情的,adj 深情的，柔情的,/ə'fɛkʃənət/,/ə'fekʃ(ə)nət/,an affectionate hug,亲切的拥抱
en:affirmation:noun:1,affirmation,noun,断言，肯定,n 断言，肯定,"/,æfɚ'meʃən/","/,æfə:'meiʃən/","On the other hand, when he/she is being positive, reply in affirmation and enthusiasm.",另一方面，当他处于积极状态时，要用肯定和热情的话语来答复。
en:affirm:verb:1,affirm,verb,断言，声明,v 断言，声明,/ə'fɝm/,/ə'fɜːm/,The general affirmed rumors of an attack.,将军证实了袭击的传闻。
en:afford:verb:1,afford,verb,负担得起,v 负担得起,/ə'fɔrd/,/ə'fɔːd/,I couldn’t afford the rent on my own.,我单靠自己付不起房租。
en:agency:noun:1,agency,noun,机构,n 机构,/'edʒənsi/,/'eɪdʒənsɪ/,a UN agency responsible for helping refugees,负责为难民提供帮助的联合国机构
en:aggressive:adjective:1,aggressive,adjective,挑衅的，好斗的；有上进心的,adj 挑衅的，好斗的；有上进心的,/ə'ɡrɛsɪv/,/ə'gresɪv/,Jim’s voice became aggressive.,吉姆的声音凶了起来。
en:album:noun:1,album,noun,粘贴簿，集邮簿，像册,n 粘贴簿，集邮簿，像册,/'ælbəm/,/'ælbəm/,a photograph album,相册
en:alcohol:noun:1,alcohol,noun,酒精,n 酒精,/'ælkəhɔl/,/'ælkəhɒl/,I don’t drink alcohol anymore.,我不再喝酒了。
en:alert:verb:1,alert,verb,提醒；,v 提醒；；adj 机警的,/ə'lɝt/,/ə'lɜːt/,"The animal raised its head, suddenly alert.",那只动物突然警觉地抬起头来。
en:alter:verb:1,alter,verb,改变,v 改变,/'ɔltɚ/,/'ɔ:ltə(r)/,Her face hadn’t altered much over the years.,过了这么多年，她的容貌并没有多大改变。
en:altitude:noun:1,altitude,noun,"海拔, 高度","n 海拔, 高度",/'æltɪtud/,"/'ælti,tju:d/","The aircraft had reached its cruising altitude of about 39,000 feet.",那架飞机已经达到了大约三万九千英尺的巡航高度。
en:ambitious:adjective:1,ambitious,adjective,有雄心的，野心勃勃的,adj 有雄心的，野心勃勃的,/æm'bɪʃəs/,/æm'biʃəs/,"Alfred was intensely ambitious, obsessed with the idea of becoming rich.",艾尔弗雷德雄心勃勃，一心想着发财。
en:analyze:verb:1,analyze,verb,分析,v 分析,"/'ænə,laɪz/","/'ænə,laɪz/",How do you analyze this change?,你该如何分析这种变化？
en:ancient:adjective:1,ancient,adjective,古代的,adj 古代的,/ˈeɪnʃənt/,/'eɪnʃənt/,the ancient civilizations of Asia,亚洲的古代文明
en:announce:verb:1,announce,verb,宣布，声称,v 宣布，声称,/ə'naʊns/,/ə'nauns/,They announced their engagement in ‘The Times’.,他们在《泰晤士报》上宣布了订婚的消息。
en:annual:adjective:1,annual,adjective,每年的,adj 每年的,/'ænjuəl/,/'ænjuəl/,The school trip has become an annual event.,学校组织的旅行成了一年一度的活动。
en:annually:adverb:1,annually,adverb,每年，一年一次,adv 每年，一年一次,/'ænjuəli/,/'ænjʊəlɪ/,This is a perennating rhizome from which flowering shoots arise annually.,这是一种每年发芽开花的多年生根茎。
en:anticipate:verb:1,anticipate,verb,预感,v 预感,/æn'tɪsə'pet/,/æn'tɪsɪpeɪt/,Sales are better than anticipated.,销量比预期要好。
en:antique:noun:1,antique,noun,古玩，古董,n 古玩，古董,/æn'tik/,/æn'ti:k/,The palace is full of priceless antiques.,宫殿里到处都是价值连城的古董。
en:apartment:noun:1,apartment,noun,公寓,n 公寓,/ə'pɑrtmənt/,/əˈpɑ:tmənt/,She lives in a small apartment.,她住在一套小公寓里。
en:appeal:noun:1,appeal,noun,吸引，呼吁,n &v 吸引，呼吁,/ə'pil/,/ə'piːl/,The girl’s family have made a public appeal for help to try and catch her killer.,那名遇害女孩的家人吁请公众协助捉拿凶手。
en:appearance:noun:1,appearance,noun,"外表, 出现","n 外表, 出现",/ə'pɪrəns/,/ə'pɪər(ə)ns/,He was always criticising his wife’s appearance.,他老是批评妻子的外表。
en:appetite:noun:1,appetite,noun,"欲望, 胃口","n 欲望, 胃口",/'æpɪtaɪt/,/'æpɪtaɪt/,Her husband always had a huge appetite.,她丈夫向来胃口极大。
en:applicant:noun:1,applicant,noun,申请人,n 申请人,/'æplɪkənt/,/'æplikənt/,We have had lots of applicants for these positions.,对这些职位我们已有了很多申请人。
en:application:noun:1,application,noun,申请，应用,n 申请，应用,/ˌæpləˈkeʃən/,/ˌæplɪ'keɪʃ(ə)n/,We receive hundreds of job applications each year.,我们每年收到数百封求职信。
en:apply:verb:1,apply,verb,"应用, 申请","v 应用, 申请",/ə'plaɪ/,/ə'plaɪ/,We need to apply for planning permission to build a garage.,我们建车库需要申请规划许可。
en:appoint:verb:1,appoint,verb,任命，委派；约定，确定，指定,v 任命，委派；约定，确定，指定,/ə'pɔɪnt/,/ə'pɔint/,officials appointed by the government,政府任命的官员
en:appointment:noun:1,appointment,noun,约会,n 约会,/ə'pɔɪntmənt/,/əˈpɔɪntmənt/,All consultations are by appointment only .,就诊必须预约。
en:appreciate:verb:1,appreciate,verb,感激，欣赏,v 感激，欣赏,/ə'priʃɪet/,/ə'pri:ʃɪeɪt/,"Thanks ever so much for your help, I really appreciate it.",多谢你的帮助，我真的很感激。
en:appreciation:noun:1,appreciation,noun,评价，感激,n 评价，感激,"/ə,priʃɪ'eʃən/","/ə,pri:ʃi'eiʃən/",He was presented with a watch in appreciation of his long service.,他获赠一块手表，作为对其长期服务的感谢。
en:approach:verb:1,approach,verb,靠近,v 靠近；n 接近，方法,/ə'protʃ/,/ə'prəutʃ/,"As I approached the house, I noticed a light on upstairs.",我走近那幢房子的时候注意到楼上有灯光。
en:approve:verb:1,approve,verb,赞成，同意,v 赞成，同意,/ə'prʊv/,/ə'pru:v/,"You've never approved of Henry, have you?",你从未赞赏过亨利，是吧？
en:approval:noun:1,approval,noun,批准，认可，赞成,n 批准，认可，赞成,/əˈpruvl/,/ə'pruːv(ə)l/,The president has already given his approval to the plan.,总统已经批准了这个计划。
en:approximately:adverb:1,approximately,adverb,大约,adv 大约,/ə'prɑksɪmətli/,/ə'prɔksimitli/,approximately equal,约等于，近似等于
en:architect:noun:1,architect,noun,建筑师,n 建筑师,/'ɑrkɪtɛkt/,/'ɑːkɪtekt/,But I am an architect.,但是我是一名建筑师。
